Name,Start_Date,End_Date,Location,City,State,Zip,Details,Notes,Type,Longitude,Latitude
Spring City Spinners Membership,1/2/24 0:00,12/31/24 0:00,,Waukesha,WI,53187,http://www.BikeReg.com/spring-city-spinners-membership,"The Spring City Spinners Bicycle Club began in 1982 as a small group of bicyclists interested in riding together, sharing knowledge, and having fun. As time went on they decided to formalize the club by establishing By-laws, electing officers and setting up regular meeting and rides.
We have members of all ages and abilities. Some are casual/recreational riders and some like to feel the wind in their face as they speed along city or country roads. Whether you are a newbie or experienced rider, you'll find rides that fit your interests.
For more information see our 
Website
.
Annual dues are $25 for Individual Memberships and $30 for Family Memberships. The membership year is from January 1st to December 31st.",Club Membership,-88.3123889,43.0622536
2024 Montgomery Bicycle Club membership,1/2/24 0:00,12/31/24 0:00,539 S Decatur St,Montgomery,AL,36104,http://www.BikeReg.com/2024mbc,,"Club Membership, Recreational",-86.8092685,33.8101065
STAGE 1 CYCLING CLUB - 2024 Membership & Event Membership Waivers,1/5/24 0:00,12/31/24 0:00,55 Main St,East Hampton,CT,6424,http://www.BikeReg.com/stage1-2024,"~~~~~~~~~~~~~~~~ About STAGE 1 ~~~~~~~~~~~~~~~


       


Welcome! The Stage 1 Cycling Club is a registered non-profit cycling organization based in East Hampton, CT. We got our start over 30 years ago here in Connecticut and have gone through many iterations and changes over the years. But one constant remains: STAGE 1 is dedicated first and foremost to having fun, building a community of cyclists where all riders are welcome, and promoting the sport of bicycling across the region. We believe that pretty much everyone is happier on a bike, whether riding or racing on the road, the moutain, on gravel, or snow -- it's all about the fun! 




STAGE 1 is composed of riders of all levels from all walks of life, from beginners to elite racers. If you don’t know how to ride a bike, we’ll teach you. If you’re a national level competitor, we’ll support you and help make you better. Most of all, we want to ride with you. To join STAGE 1, please contact us first through our 
Facebook page
, or drop by AirLine Cycles in East Hampton, CT, so we can talk with you, tell you more about our club, and learn more about you and your goals. Better yet, join us for a ride and lets talk more over pizza and a drink. No race resumes, no secret handshakes - just a good attitude and a desire to ride. If we're the right fit for you, welcome aboard! Just come on back here, and you can complete the registration process. Of course, if you want in now, that's fine too! 




STAGE 1 members receive discounts from our sponsors, and the more committed our riders and members are, the more sponsorship they receive. Unlike many teams, it’s not just about results: it’s about commitment, attitude, and effort. For more details, please visit 
here
.




















STAGE 1 is currently made up of over 100 full members: about 60 seniors, 35 juniors, 20 women and girls (we’d love to see more!); our oldest member is 70 and our youngest is 5. 




We are an active club and we host many cycling events each year.  Obviously 2020/21 were COVID years, but we still managed to put on several COVID-safe events . For 2022, we plan to again host a USA Cycling sanctioned mountain bike race in June, and this fall we can't wait to bring back the Belltown CX race for it's forth year. Of course, we will also hold many training rides, fun rides, and competitive road adventure and gravel rides. And together with AirLine Cycles, we host a Thursday night mountain bike training ride (year around) and Wednesday night gravel ride (during the summer). And, of course, we will continue with our popular junior programs and activities.


What else?  Well, we race a lot! STAGE 1 riders participate in events all over N
ew England and you will also find us competing in the mid-Atlantic, California, and other locations all over the country racing nearly every weekend in the spring, summer, and fall (sometime in the winter too). Although we are heavily mountain and cyclocross focused at the moment, we also compete in road events and multi-sport competition. We proudly sponsor a junior team and we are committed to getting as many kids on bikes as possible!  If you join us and plan to seek a USAC license, please be sure to indicate your club affiliation as STAGE 1 Cycling Club (STAGE 1/AirLine Cycles). You can purchase a race license here: 
https://www.usacycling.org/
.


But plenty of our active members don’t race and that’s fine too. We're glad to hangout and party with all comers! 


We have great sponsors who generously support our club and believe in our mission. They are AirLine Cycles, Fat Orange Cat Brewery, and Pactimo.


Come join us and have some fun!","Club Membership, Club Membership",-72.5024804,41.5758442
Rapid Wheelmen Membership 2024,1/4/24 0:00,12/31/24 0:00,,Grand Rapids,MI,49501,http://www.BikeReg.com/rapid-wheelmen-membership-2024,,Club Membership,-85.6678639,42.9632425
Team Solutions Cycling (TSC) Club Registration,1/7/24 0:00,12/31/24 0:00,31 Miller Rd,New Vernon,NJ,7976,http://www.BikeReg.com/team-solutions-cycling,This is for 2024 annual club membership for Team Solutions Cycling (www.solutionscycling.com/). Registering for club membership does not mean that you are registering to race for the club; that must be done through USA Cycling on usacycling.org.,Club Membership,-74.4973774,40.7453784
RCV Membership 2024,1/9/24 0:00,12/31/24 0:00, ,Chevy Chase,MD,20815,http://www.BikeReg.com/rcv-membership,"Registration for calendar year 2024 is $125 for the first member and $100 for additional family members. Registration includes a code for credit in the amount of a junior jersey ($50) to be used when ordering kit items through the Eliel online team store. 
See your registration confirmation email for discount code and order information. 
Questions? Email Lisa Levin at levinreichmann@gmail.com",Club Membership,-77.0849245,38.9813699
2024 New England Bicycle Racing Association (NEBRA) Club & Event Director Membership,1/10/24 0:00,12/31/24 0:00, ,Harvard,MA,1451,http://www.BikeReg.com/nebra-club-membership,"VOTING NEBRA MEMBERS MUST JOIN OR RENEW THEIR MEMBERSHIPS BY 11:59 P.M. February 2, 2024 IN ORDER TO VOTE IN THE 2024 BOARD MEMBER ELECTIONS. 
Membership fee will be waived for individual Race Directors, or USA Cycling licensed clubs who sponsor/organize an active USA Cycling permitted event or program that furthers the advancement of cycling, and is open to members outside that club, in the New England States. 
Please remember that voting NEBRA membership is limited to USA Cycling Clubs and Standalone USA Cycling Race Directors with a licensed address in one of the 6 New England states (CT,MA,ME,NH,RI,VT).","Club Membership, NEBRA",-71.12221394,42.36574325
Berkshire Velo 2024 Membership,12/31/24 0:00,12/31/24 0:00,,Pittsfield,MA,1201,http://www.BikeReg.com/berkshire-velo-membership,"Please proceed to fill out the information requested on the following pages.  Once you have completed the process and paid for your membership, you will receive a confirmation email. 


About Berkshire Velo


Berkshire Velo is a newly formed club that aims to better the community and ourselves through the sport of cycling.  We promote cycling in the Berkshires through recreational group rides, special events, racing, education, coaching and most importantly youth development via efforts such as our local NEHSCA team, the Shire Shredders. 


Our plans for 2021 include hosting the following events: (1) Berkshire Backroads Gravel Grinder (B2G2), (2) The Greylock Century, (3) Fall Folliage Grave Grinder (F2G2) and a half dozen Bike 'N Brew rides.  Please note that events may be subject to cancellation due to required adherence to state and local Covid-19 guidelines.   


Your membership is greatly appreciated and will hopefully represent good value in the form of discounts to events, local bike shops and access to our community development/social events. 


We are a registered 501c3 nonprofit organization that is actively seeking sponsors.  If you or your organization is looking to support the Berkshire cycling community please contact berkshirevelo@gmail.com for details.","Club Membership, Club Membership",-73.2541069,42.4484778
Southern Colorado Velo Electronic Waiver,1/16/24 0:00,12/31/24 0:00,,Colorado Springs,CO,80918,http://www.BikeReg.com/socovelo,"This event is used to collect waivers for Southern Colorado Velo cycling club.


A digital waiver must be completed by each member each calendar year.","Club Membership, Club Membership",-104.825348,38.8339578
Team Somerset - POPS Bike Shop 2024 Membership,1/18/24 0:00,12/31/24 0:00,131 Spring Hill Road,Skillman,NJ,8558,http://www.BikeReg.com/somerset-wheelmen-membership2,"Thinking of joining Team Somerset?  Welcome to our Member Registration Page
Here you can:
Join the club for the first time 
Renew your membership for 2024
Renew/update as a lifetime member
Update your personal information
Update your email address
Complete the 
club insurance waiver
 
(or scan the QR code below)
Looking for a fun, supportive and motivated group of cyclists?  Established in 1936, Team Somerset is a non-profit organization dedicated to promoting all aspects of cycling at all levels.  We offer short, leisurely rides for those just getting started and more challenging rides for those ready to push their fitness.  
In addition to our rides, we get together for social events and collaborate with our friends on other local clubs and teams.  We aim to have fun both on and off the bike.
 
Join us for:
Social Rides
Endurance Rides
Gravel Rides
Skills Clinics
Racing
Juniors Program
Fondos & Events
Member Benefits
Team support and mentoring from experienced riders, coaches and racers including national, regional, state and PanAm champions.
Access to professional coaching and bike fit services.
Team discounts at local bike shops & popular brands.
Umbrella insurance for every time you’re on your bike.
Bike Handling Clinic by 21x National Champion Joe Saling
Practice Crits by Coach Rick
and much much more
If you plan to race, don't forget to join our team at USA Cycling:  
https://clubs.usacycling.org/clubs/16385
While you're at it, why not join the conversation on our socials?
Team Strava Group
Team Facebook Group
Follow us on Instagram!
Follow us on Facebook!
And don't forget to visit our webpage! 
https://www.somersetwheelmen.org
 
Thank you,
Dan Dalfonzo
President 
Somerset Wheelmen aka Team Somerset 
president@somersetwheelmen.org","Road Race, Club Membership",-74.7146049,40.4201055
2024 NJBA Membership,1/17/24 0:00,12/31/24 0:00,,Pennington,NJ,8534,http://www.BikeReg.com/njba-membership-2024,"To register your team with the NJBA please have one member of the team register themselves and include the correct team name you want to use for the season. Please instruct your other riders to use this name when registering for events, it makes the cup administrators jobs a whole lot easier that way.




MEMBERSHIP Type:


Annual Membership: These clubs will have full voting rights at NJBA meetings. 


Associate Membership: These clubs will not have voting rights but will be a member of the NJBA and eligible to score points in the various cup series througout the year. 



Any questions send email to tommains@njbikeracing.com","Club Membership, New Jersey Bicycling Association",-74.7909992,40.3281213
Artemis Racing Membership 2024,1/19/24 0:00,12/31/24 0:00, ,Silver Spring,MD,20906,http://www.BikeReg.com/artemis-racing-membership2024,,Club Membership,-77.0276231,38.9959461
Savannah Wheelmen 2024 Membership,12/31/24 0:00,12/31/24 0:00,,Savannah,GA,31401,http://www.BikeReg.com/savannah-wheelmen-membership-2024,"The Savannah Wheelmen, one of the oldest cycling clubs in the Southeast, are proud to return to the road in 2024!
Join us as a club or race team member this year! 
Club membership includes special benefits like bike shop discounts and exclusive club rides. You'll get invites to new events throughout the year, and maybe even access to new benefits and perks as the year goes on. Plus, you'll support one of the oldest cycling clubs in the South with your tax-deductible contribution. 
Race team members are welcome to join at any category and experience level but are expected to participate in at least five races throughout the year. This could be road, mountain bike, cyclocross, gravel, track, you name it! Race team members will receive an exclusive, team-issues Giro Eclipse helmet courtesy of Benedetto Guitars and Quality Bike Shop, and a Jakroo speedsuit courtesy of Drive Stewart. Race team members will also have access to a discounted Giro Aries helmet and up to $150 in race entry reimbursement after competing in five events. 
The Savannah Wheelmen is a Georgia 501c3 nonprofit whose mission is to promote the sport of cycling for all in the Savannah, GA region.",Club Membership,-79.70280822,43.41290628
QCW Cycling 2024 Club Membership Registration,1/20/24 0:00,12/31/24 0:00,,Philadelphia,PA,19130,http://www.BikeReg.com/qcw-cycling-registration1,"Sponsorship and Donations:
Donations and funds are used to sponsor the club's mission of improving the competitiveness of cyclists in the Philadelphia area and encouraging all of its members to assist with club functions and activities.  QCW Cycling's mission focuses on fostering development in riders of all ages through skill clinics, mentorship, and partnership with other local/national cycling organizations. QCW Cycling utilizes the combined skills and resources of its members to collectively develop their abilities as competitive cyclists.
 
Membership in QCW Cycling is open to riders of all racing categories, age groups, and gender. We field different racing teams based upon racing category and age groups. Whether members are elite racers, with years of tactical knowledge and experience under their belt, or rote beginners, QCW Cycling provides resources to help its riders grow, compete, and win.
Special Instructions for Annual Membership:
When joining for the first time or renewing your annual membership, please check off the online waiver agreement at the bottom of the page.
No cash refunds are available for any membership or donations.  Credit for future QCW produced events is available at the discretion of the organizers.","Club Membership, Pennsylvania Cycling Association",-75.1635262,39.9527237
Competitive Edge Racing Team Membership 2024,1/25/24 0:00,12/31/24 0:00,612 N Main St,WEST SUFFIELD,CT,6093,http://www.BikeReg.com/compedgeracingmember24,"In order to recieve shop discount you must show your discount card (Will be supplied once registered) 
 
Shop Club Team (road, cx, mtb)
 
Provide an environment to help foster interest in the program and the sport at the grassroots level. 
Create a welcoming and fun environment for anyone that has any interest in racing
 
Support
Access to custom verge clothing
Deeper discounts on up to 2 race bikes if the bike is ordered AND deposit placed during a specified team night
10% discount on any additional bikes
15% discount on any team sponsored products in the shop
15% discount on any other bike related purchases from the shop
Club Team tent at specified local cross races 
CX practices to help build/practice skills
Discounted coaching plan
 
Requirements
Must register for the team on Bikereg, sign waiver, and pay member dues
Must participate in at least 5 local New England races per year
Must race in CER jersey
All of the above must be completed in order to be eligible for discounts","Gift Card, NEBRA",-72.6920365,41.9887073
Down East Cyclists Membership 2023,1/28/24 0:00,12/31/24 0:00,,Jacksonville,NC,28540,http://www.BikeReg.com/down-east-cyclists-membership0,,Club Membership,-77.4208221,34.7494749
New England Randonneurs 2024 Membership / Season Pass,2/26/24 0:00,12/31/24 0:00, ,Waltham,MA,2453,http://www.BikeReg.com/nermembership,"This is for 2024 membership and Season Passes in the New England Randonneurs, Inc (NER) organization.
NER Events are 
NOT
 limited to NER members only in 2024, but all participants must be current RUSA members.  This is an insurance requirement.  However, for the low price of $10, members get NER swag (when available), can participate in NER elections, and help keep Randonneuring alive in New England.
Season Pass holders may ride any and all events without additional cost, however, when a multiday event includes a mandatory overnight stay, the lodging expense is extra. Online registration & a RUSA Membership is required.
Details on NER Membership and our events can be found on the 
NER Website
.
Information on registering for RUSA membership can be found on the 
RUSA Website
.
If you volunteered for an event in 2023, you are eligible for FREE 2024 membership and season pass!  If you volunteered in 2023 season pass and did not receive a coupon code, 
please contact NER volunteer
 coordinator Emily O'Brien before registering below. 
Hardship Waiver: If you'd like to participate in NER events but circumstances prevent you from being able to afford the membership or entry fees, please email rba@nerandonneurs.org to ask about alternative options. NER is a non-profit, all volunteer organization. Membership & event fees cover expenses.","Club Membership, Club Membership",-71.2358004,42.3756401
Schell Brothers Cycling Membership 2024,2/18/24 0:00,12/31/24 0:00,,Lewes,DE,19958,http://www.BikeReg.com/schell-brothers-cycling-membership,"1K2GO Sports presents you with the Schell Brothers Cycling program. With Schell Brothers as a title sponsor, this is a platform for a new type of community in Delaware with the mission of bringing our fun and healthy endurance lifestyle to cyclists of all kinds. We value wellness, competition, and lifestyle as we embark upon a ride to capture the energy and quality of a Schell Community through our sport. We are building a critical mass of riders to act as marketing and promotional ambassadors for our sport and sponsors. Coastal Delaware is a fantastic place to live, work, and play. Our beaches and attractions lay adjacent to some of the most beautiful rural roads and trails Delaware has to offer. If you are interested in riding and racing in the colors of a supported program, join us to put Delaware cycling on the map.



Requirements

- Ride your Bike

- Be a part of our community

- Promote our sponsors

- Wear our Kit with Pride

- Put Delware on the Cycling Map



Benefits

- Community feel

- Access to industry discounts

- Be a part of something new and special



After you register, you will be sent a link to the Castelli Clothing online store. This is your uniform. We are offering heavily discounted prices on premium clothing. Store will only be open at selct times a year so make sure you get enough to represent!",Club Membership,-75.1379574,38.7733961
2024 Baddlands Club Registration,3/1/24 0:00,12/31/24 0:00,,Spokane,WA,99223,http://www.BikeReg.com/baddlands-club-registration,,Club Membership,-117.42351,47.6571934
Kids Bike League - 2024 Sandersville Events,3/1/24 0:00,12/31/24 0:00,1200 Bartow Road,Sandersville,GA,31082,http://www.BikeReg.com/kbl-2024-sandersville,"We can’t wait to see you at our Kids Bike League events in Sandersville!
 
*What to Bring*
Helmet
Water bottle
Closed-toe shoes
Bike (without training wheels)
If you do not have a bike, we will have one for you to ride.
 
*
What We Provide
*
Bikes for those who don’t have their own
Helmets for those who don't have their own
Water for bottle refills
Lunch is only provided during summer and winter camps
 
*
What to Expect for Learn to Ride A Bike Days
*
This ride is for those who want to learn to ride a bike. Coaches will help teach basic safety and technical skills.  If your child has a bike, please bring it with training wheels removed. We will have bikes available if they need a better fitting bike.
 
*
What to Expect at Ride Days & Camps
*
This ride is for those comfortable riding a bike without training wheels. Coaches will focus on leading group rides on the trails and teaching skills, including both group safely and individual riding. Group rides are generally around 45 minutes. Please arrive 10-15 minutes early if you need to use one of our bikes.
 
*How to Prepare*
If you know other kids who are learning to ride, we recommend bringing them along. Kids of the same experience level will be able to encourage one another as they learn to ride together. Please make sure all riding participants have registered online and parents have signed the online waiver.
 
If you need financial help in order for your child to attend camp, please use discount code SummerFun to cover 95% of camp cost.","Cycling Camp, Cycling Camp",-82.8116031,32.9832812
2024 Chasm Riders Mountain Bike Club - Membership,12/31/24 0:00,12/31/24 0:00,,Peru,NY,12972,http://www.BikeReg.com/chasm-riders-club-membership,"The Chasm Riders Mountain Bike Club has just incorporated as a nonprofit in New York State, and we want you to join us!
 
Last year was such a success, that we are keeping membership at only $1, and ask that you make an optional donation to help support our efforts. Your contributions will help fund our trail maintenence and development costs, and help pay for the events that we host including this year's 
Chasm Chaos MTB Race
 on June 11th. Eventually, we would like to grow as an organization and develop more trails throughout the area. 
Membership is valid through March 31, 2025
Please note that your membership does not include a parking permit for the Chasm.",Club Membership,-73.527031,44.578486
2024 Treadhead Membership,4/12/24 0:00,12/31/24 0:00,,Lake Geneva,WI,53147,http://www.BikeReg.com/treadhead-membership,,Club Membership,-88.4345369,42.5918039
